dive_id|image_id|path|camera_id|model|known_length_m|length_m|depth_m|n_ht|ht|dot|pos|ax|km|dist
59|4352|2024.06.20.REEF/08_2023/082923_Pool Calibration/082929_FishModels_FSL01/P8290171.ORF|1|Grouper|0.36|0.3511606306344865|1.5794833898544312|1|2221.3499338288952;1448.1134001428666;1611.8328301876631;1288.3656872929885|1930.162289507423;1366.8368626479335|[-0.03057379275560379, -0.099056176841259, 0.0]|[0.005684984847903252, 0.032687537372112274, 0.9994494318962097]|[[2832.6628438838216, 0.0, 1968.0272553880557], [0.0, 2855.8825480621545, 1452.810040656435], [0.0, 0.0, 1.0]]|[-0.12100428903752407, -0.054716493247621914, -0.0033433024221579243, -6.011803399688542e-06, 0.045781926585394796]
59|4353|2024.06.20.REEF/08_2023/082923_Pool Calibration/082929_FishModels_FSL01/P8290170.ORF|1|Grouper|0.36|0.35150461047572673|1.5982246398925781|1|2221.038184104106;1451.540301005222;1619.7737298351929;1287.0767885140192|1930.1544619281715;1369.134160876532|[-0.03057379275560379, -0.099056176841259, 0.0]|[0.005684984847903252, 0.032687537372112274, 0.9994494318962097]|[[2832.6628438838216, 0.0, 1968.0272553880557], [0.0, 2855.8825480621545, 1452.810040656435], [0.0, 0.0, 1.0]]|[-0.12100428903752407, -0.054716493247621914, -0.0033433024221579243, -6.011803399688542e-06, 0.045781926585394796]
59|4351|2024.06.20.REEF/08_2023/082923_Pool Calibration/082929_FishModels_FSL01/P8290169.ORF|1|Grouper|0.36|0.3525296225708938|1.6128841638565063|1|2202.1215061036633;1415.5070146991952;1605.3914745667926;1249.0937004332136|1931.8122407063431;1370.400122470361|[-0.03057379275560379, -0.099056176841259, 0.0]|[0.005684984847903252, 0.032687537372112274, 0.9994494318962097]|[[2832.6628438838216, 0.0, 1968.0272553880557], [0.0, 2855.8825480621545, 1452.810040656435], [0.0, 0.0, 1.0]]|[-0.12100428903752407, -0.054716493247621914, -0.0033433024221579243, -6.011803399688542e-06, 0.045781926585394796]
59|4349|2024.06.20.REEF/08_2023/082923_Pool Calibration/082929_FishModels_FSL01/P8290168.ORF|1|Grouper|0.36|0.35522850655989463|1.6429475545883179|1|2192.8812703429203;1402.9105212081658;1600.1347291761488;1247.5013440283064|1932.4525839737594;1373.7096553082845|[-0.03057379275560379, -0.099056176841259, 0.0]|[0.005684984847903252, 0.032687537372112274, 0.9994494318962097]|[[2832.6628438838216, 0.0, 1968.0272553880557], [0.0, 2855.8825480621545, 1452.810040656435], [0.0, 0.0, 1.0]]|[-0.12100428903752407, -0.054716493247621914, -0.0033433024221579243, -6.011803399688542e-06, 0.045781926585394796]
59|4350|2024.06.20.REEF/08_2023/082923_Pool Calibration/082929_FishModels_FSL01/P8290167.ORF|1|Grouper|0.36|0.35470186536197956|1.6431807279586792|1|2191.675570059123;1419.3130390996196;1598.6637651625276;1268.9969255323913|1932.2871682576658;1373.7965972974218|[-0.03057379275560379, -0.099056176841259, 0.0]|[0.005684984847903252, 0.032687537372112274, 0.9994494318962097]|[[2832.6628438838216, 0.0, 1968.0272553880557], [0.0, 2855.8825480621545, 1452.810040656435], [0.0, 0.0, 1.0]]|[-0.12100428903752407, -0.054716493247621914, -0.0033433024221579243, -6.011803399688542e-06, 0.045781926585394796]
59|4375|2024.06.20.REEF/08_2023/082923_Pool Calibration/082929_FishModels_FSL01/P8290193.ORF|1|Grouper|0.36|0.3266068231672282|2.0707380771636963|1|2085.2871773088323;1522.6033003279872;1698.0021317650317;1298.0133424098926|1942.1256909503772;1409.6582564231276|[-0.03057379275560379, -0.099056176841259, 0.0]|[0.005684984847903252, 0.032687537372112274, 0.9994494318962097]|[[2832.6628438838216, 0.0, 1968.0272553880557], [0.0, 2855.8825480621545, 1452.810040656435], [0.0, 0.0, 1.0]]|[-0.12100428903752407, -0.054716493247621914, -0.0033433024221579243, -6.011803399688542e-06, 0.045781926585394796]
59|4374|2024.06.20.REEF/08_2023/082923_Pool Calibration/082929_FishModels_FSL01/P8290192.ORF|1|Grouper|0.36|0.3240076027881237|2.0717809200286865|1|2096.9849541091203;1508.507915200369;1674.3314112553835;1374.6971003777771|1941.4973038413589;1409.942224428348|[-0.03057379275560379, -0.099056176841259, 0.0]|[0.005684984847903252, 0.032687537372112274, 0.9994494318962097]|[[2832.6628438838216, 0.0, 1968.0272553880557], [0.0, 2855.8825480621545, 1452.810040656435], [0.0, 0.0, 1.0]]|[-0.12100428903752407, -0.054716493247621914, -0.0033433024221579243, -6.011803399688542e-06, 0.045781926585394796]
59|4373|2024.06.20.REEF/08_2023/082923_Pool Calibration/082929_FishModels_FSL01/P8290191.ORF|1|Grouper|0.36|0.3258595560454979|2.089184045791626|1|2138.876376791919;1471.670686589001;1706.362208504732;1380.7139229107404|1943.295585478611;1410.61339498388|[-0.03057379275560379, -0.099056176841259, 0.0]|[0.005684984847903252, 0.032687537372112274, 0.9994494318962097]|[[2832.6628438838216, 0.0, 1968.0272553880557], [0.0, 2855.8825480621545, 1452.810040656435], [0.0, 0.0, 1.0]]|[-0.12100428903752407, -0.054716493247621914, -0.0033433024221579243, -6.011803399688542e-06, 0.045781926585394796]
59|4361|2024.06.20.REEF/08_2023/082923_Pool Calibration/082929_FishModels_FSL01/P8290179.ORF|1|Grouper|0.36|0.3605327047051573|2.1267237663269043|1|2154.1888477544608;1448.7212496414459;1680.8917057826259;1366.886993234751|1944.2267882140886;1412.9437890713461|[-0.03057379275560379, -0.099056176841259, 0.0]|[0.005684984847903252, 0.032687537372112274, 0.9994494318962097]|[[2832.6628438838216, 0.0, 1968.0272553880557], [0.0, 2855.8825480621545, 1452.810040656435], [0.0, 0.0, 1.0]]|[-0.12100428903752407, -0.054716493247621914, -0.0033433024221579243, -6.011803399688542e-06, 0.045781926585394796]
59|4362|2024.06.20.REEF/08_2023/082923_Pool Calibration/082929_FishModels_FSL01/P8290180.ORF|1|Grouper|0.36|0.3610486152104037|2.1281747817993164|1|2123.5180313938845;1432.5149967923726;1644.0497815618726;1399.7812942296948|1943.9786044955274;1413.1121604782015|[-0.03057379275560379, -0.099056176841259, 0.0]|[0.005684984847903252, 0.032687537372112274, 0.9994494318962097]|[[2832.6628438838216, 0.0, 1968.0272553880557], [0.0, 2855.8825480621545, 1452.810040656435], [0.0, 0.0, 1.0]]|[-0.12100428903752407, -0.054716493247621914, -0.0033433024221579243, -6.011803399688542e-06, 0.045781926585394796]
